Particulars,year,mean_population_yearwise_converted
mean_population_yearwise_converted,1995,26969373.41981132
mean_population_yearwise_converted,1996,27341963.5
mean_population_yearwise_converted,1997,27707444.547169812
mean_population_yearwise_converted,1998,28067967.198113207
mean_population_yearwise_converted,1999,28426364.849056605
mean_population_yearwise_converted,2000,28784898.778301887
mean_population_yearwise_converted,2001,29144376.226415094
mean_population_yearwise_converted,2002,29370694.286384977
mean_population_yearwise_converted,2003,29731778.2629108
mean_population_yearwise_converted,2004,30095631.78403756
mean_population_yearwise_converted,2005,30320414.710280374
mean_population_yearwise_converted,2006,30689434.906542055
mean_population_yearwise_converted,2007,31062044.887850467
mean_population_yearwise_converted,2008,31437847.457943924
mean_population_yearwise_converted,2009,31816165.93457944
mean_population_yearwise_converted,2010,31898198.77314815
mean_population_yearwise_converted,2011,32127728.244239632
mean_population_yearwise_converted,2012,32505457.62672811
mean_population_yearwise_converted,2013,32883080.580645163
